Categoría: Todas las categorías

Semana,Farmacias San Pablo: (México),American Eagle Outfitters: (México),La Europea: (México)
2021-03-21,17,26,31
2021-03-28,21,31,23
2021-04-04,24,29,23
2021-04-11,19,23,24
2021-04-18,18,20,48
2021-04-25,16,23,27
2021-05-02,18,23,28
2021-05-09,16,20,29
2021-05-16,18,23,31
2021-05-23,18,29,44
2021-05-30,19,25,43
2021-06-06,17,23,60
2021-06-13,16,26,55
2021-06-20,19,27,38
2021-06-27,20,27,30
2021-07-04,23,30,24
2021-07-11,26,28,23
2021-07-18,29,28,20
2021-07-25,28,28,19
2021-08-01,29,27,19
2021-08-08,27,28,20
2021-08-15,25,27,18
2021-08-22,23,25,20
2021-08-29,20,22,21
2021-09-05,17,20,25
2021-09-12,17,20,27
2021-09-19,18,21,22
2021-09-26,16,20,22
2021-10-03,16,21,22
2021-10-10,17,21,25
2021-10-17,16,20,27
2021-10-24,16,19,28
2021-10-31,15,20,27
2021-11-07,16,44,40
2021-11-14,16,41,32
2021-11-21,15,31,31
2021-11-28,17,30,39
2021-12-05,15,33,48
2021-12-12,16,36,55
2021-12-19,19,44,64
2021-12-26,24,40,44
2022-01-02,34,30,21
2022-01-09,42,27,20
2022-01-16,32,23,19
2022-01-23,28,22,21
2022-01-30,23,20,23
2022-02-06,19,20,24
2022-02-13,17,18,27
2022-02-20,17,18,31
2022-02-27,17,18,43
2022-03-06,18,19,31
2022-03-13,15,21,31
2022-03-20,18,21,29
2022-03-27,18,21,31
2022-04-03,18,22,26
2022-04-10,17,24,21
2022-04-17,18,21,22
2022-04-24,16,19,25
2022-05-01,15,17,27
2022-05-08,16,19,27
2022-05-15,15,21,26
2022-05-22,16,32,33
2022-05-29,18,24,28
2022-06-05,18,18,29
2022-06-12,17,20,31
2022-06-19,19,22,26
2022-06-26,24,25,24
2022-07-03,25,26,22
2022-07-10,24,25,23
2022-07-17,22,26,20
2022-07-24,21,27,17
2022-07-31,19,24,18
2022-08-07,17,19,16
2022-08-14,16,30,19
2022-08-21,17,24,21
2022-08-28,16,20,20
2022-09-04,14,17,23
2022-09-11,14,23,23
2022-09-18,14,22,21
2022-09-25,16,24,23
2022-10-02,14,26,23
2022-10-09,14,26,22
2022-10-16,15,29,23
2022-10-23,14,27,24
2022-10-30,15,28,23
2022-11-06,16,30,28
2022-11-13,16,59,34
2022-11-20,16,54,27
2022-11-27,17,39,30
2022-12-04,16,37,33
2022-12-11,18,44,42
2022-12-18,20,51,49
2022-12-25,17,51,34
2023-01-01,14,42,16
2023-01-08,15,34,17
2023-01-15,15,32,15
2023-01-22,17,33,20
2023-01-29,19,30,20
2023-02-05,15,25,17
2023-02-12,15,24,20
2023-02-19,17,25,20
2023-02-26,19,23,18
2023-03-05,15,24,20
2023-03-12,16,24,20
2023-03-19,13,27,19
2023-03-26,17,30,19
2023-04-02,16,32,16
2023-04-09,17,29,17
2023-04-16,14,27,20
2023-04-23,15,29,20
2023-04-30,15,27,19
2023-05-07,14,25,20
2023-05-14,15,26,22
2023-05-21,14,30,22
2023-05-28,17,52,29
2023-06-04,15,34,24
2023-06-11,15,30,25
2023-06-18,15,27,22
2023-06-25,16,31,21
2023-07-02,16,34,18
2023-07-09,14,36,15
2023-07-16,14,38,14
2023-07-23,13,37,13
2023-07-30,16,31,13
2023-08-06,14,33,14
2023-08-13,15,35,13
2023-08-20,13,34,14
2023-08-27,13,33,15
2023-09-03,14,28,16
2023-09-10,12,29,17
2023-09-17,12,30,17
2023-09-24,14,31,17
2023-10-01,12,32,18
2023-10-08,13,28,16
2023-10-15,14,36,19
2023-10-22,12,31,18
2023-10-29,14,34,16
2023-11-05,13,39,20
2023-11-12,15,69,24
2023-11-19,13,73,21
2023-11-26,13,43,22
2023-12-03,13,48,25
2023-12-10,13,56,29
2023-12-17,19,59,31
2023-12-24,17,56,22
2023-12-31,15,48,16
2024-01-07,16,43,14
2024-01-14,16,41,14
2024-01-21,15,35,14
2024-01-28,14,37,15
2024-02-04,13,30,15
2024-02-11,12,28,15
2024-02-18,13,27,15
2024-02-25,14,28,16
2024-03-03,12,28,16
2024-03-10,13,29,14
2024-03-17,13,33,14
2024-03-24,13,36,13
2024-03-31,14,33,13
2024-04-07,11,29,17
2024-04-14,11,27,16
2024-04-21,12,27,15
2024-04-28,13,32,15
2024-05-05,11,34,16
2024-05-12,12,48,16
2024-05-19,11,42,16
2024-05-26,11,30,17
2024-06-02,11,30,16
2024-06-09,10,32,19
2024-06-16,11,32,17
2024-06-23,12,36,16
2024-06-30,12,39,14
2024-07-07,13,42,14
2024-07-14,12,49,13
2024-07-21,13,43,11
2024-07-28,13,38,12
2024-08-04,12,35,11
2024-08-11,12,43,12
2024-08-18,12,39,14
2024-08-25,12,30,13
2024-09-01,10,31,14
2024-09-08,11,35,14
2024-09-15,10,32,14
2024-09-22,11,34,15
2024-09-29,11,40,14
2024-10-06,10,42,14
2024-10-13,11,42,14
2024-10-20,11,37,14
2024-10-27,11,36,14
